Tanggal,Judul,URL,Sentimen
23-07-2018,Ini Alasan Asing Tahan Investasi di Sektor Manufaktur,https://ekonomi.bisnis.com/read/20180723/257/819834/ini-alasan-asing-tahan-investasi-di-sektor-manufaktur,Positif
18-05-2020,"Positif Corona Bali 359 Orang, 64.620 Warga telah Rapid Test",https://bali.bisnis.com/read/20200518/537/1242309/positif-corona-bali-359-orang-64.620-warga-telah-rapid-test,Positif
09-07-2019,"Wacana Penaikan Iuran JKN, Pemerintah Perlu Dorong di APBN-P 2019",https://finansial.bisnis.com/read/20190709/215/1122209/wacana-penaikan-iuran-jkn-pemerintah-perlu-dorong-di-apbn-p-2019,Positif
05-10-2022,Muhammadiyah Bantah Dukung Anies Baswedan Jadi Capres 2024,https://kabar24.bisnis.com/read/20221005/15/1584665/muhammadiyah-bantah-dukung-anies-baswedan-jadi-capres-2024,Positif
05-01-2018,Single Submission Atasi Hambatan Investasi Daerah,https://ekonomi.bisnis.com/read/20180105/9/723754/single-submission-atasi-hambatan-investasi-daerah,Positif
24-06-2023,"Dukung Kinerja Optimal, PDS Adakan Seminar Manajemen Risiko",https://surabaya.bisnis.com/read/20230624/531/1668785/dukung-kinerja-optimal-pds-adakan-seminar-manajemen-risiko,Positif
24-02-2023,Rekor! Penjualan Bus Listrik di China Tembus 138.000 Unit,https://otomotif.bisnis.com/read/20230224/46/1631559/rekor-penjualan-bus-listrik-di-china-tembus-138000-unit,Positif
27-06-2021,"Dampak Klaster Takziah, 6 Nakes Puskesmas Bulukandang Prigen Positif Covid",https://surabaya.bisnis.com/read/20210627/531/1410541/dampak-klaster-takziah-6-nakes-puskesmas-bulukandang-prigen-positif-covid,Positif
12-07-2019,"Jaga Pertumbuhan, Bayan Resources (BYAN) Tidak Ragu Investasi Infrastruktur",https://ekonomi.bisnis.com/read/20190712/44/1123752/jaga-pertumbuhan-bayan-resources-byan-tidak-ragu-investasi-infrastruktur,Positif
02-10-2023,"5 Cara Beli Masa Aktif Telkomsel, Mudah dan Cepat",https://teknologi.bisnis.com/read/20231002/101/1700285/5-cara-beli-masa-aktif-telkomsel-mudah-dan-cepat,Positif
04-07-2022,"Limit Saldo Dompet Digital Naik, Ovo Harap Bawa Berkah Transaksi Investasi",https://finansial.bisnis.com/read/20220704/563/1551263/limit-saldo-dompet-digital-naik-ovo-harap-bawa-berkah-transaksi-investasi,Positif
06-05-2022,Atlet Indonesia Kiromal Katibin Raih Rekor Dunia Panjat Tebing,https://bola.bisnis.com/read/20220506/60/1530507/atlet-indonesia-kiromal-katibin-raih-rekor-dunia-panjat-tebing,Positif
17-10-2021,"Dukung Program Seaweed Estate, Maluku Tenggara Beri Kemudahan Investasi",https://papua.bisnis.com/read/20211017/415/1455394/dukung-program-seaweed-estate-maluku-tenggara-beri-kemudahan-investasi,Positif
20-10-2018,"Buku ""Anak Pancong"" Dapat Testimoni Positif, Mulai dari Anies Baswedan Sampai Raditya Dika",https://lifestyle.bisnis.com/read/20181020/220/851438/buku-anak-pancong-dapat-testimoni-positif-mulai-dari-anies-baswedan-sampai-raditya-dika,Positif
22-07-2022,"Usai Bebas dari Pailit, GIAA Fokus Raup Untung dari Bisnis Ini",https://ekonomi.bisnis.com/read/20220722/98/1558201/usai-bebas-dari-pailit-giaa-fokus-raup-untung-dari-bisnis-ini,Positif
15-03-2021,Proyeksi Ekonom: Surplus Neraca Dagang 2021 US$10 Miliar,https://ekonomi.bisnis.com/read/20210315/9/1367988/proyeksi-ekonom-surplus-neraca-dagang-2021-us10-miliar,Positif
01-09-2020,Nilai Ekspor Lampung Juli 2020 Meningkat Hingga 26 Persen,https://sumatra.bisnis.com/read/20200901/534/1286062/nilai-ekspor-lampung-juli-2020-meningkat-hingga-26-persen,Positif
20-02-2019,"Indonesia Pasar Penting, OneConnect Siap Investasi US$10 Juta",https://teknologi.bisnis.com/read/20190220/266/891439/indonesia-pasar-penting-oneconnect-siap-investasi-us10-juta,Positif
08-11-2021,Pelabelan Lolos Uji Aman Kemasan Pangan Berimbas Pada Konsumen dan Iklim Investasi,https://ekonomi.bisnis.com/read/20211108/257/1463722/pelabelan-lolos-uji-aman-kemasan-pangan-berimbas-pada-konsumen-dan-iklim-investasi,Positif
27-06-2019,Kemenperin Dorong Hilirisasi Industri Rumput Laut,https://ekonomi.bisnis.com/read/20190627/257/938776/kemenperin-dorong-hilirisasi-industri-rumput-laut,Positif
15-02-2022,Ini Upaya Garuda Indonesia (GIAA) untuk Dukung MotoGP Mandalika,https://market.bisnis.com/read/20220215/192/1500844/ini-upaya-garuda-indonesia-giaa-untuk-dukung-motogp-mandalika,Positif
